system:index,date,total_evaporation_m,.geo
20000929,2000-09-29,-0.0024417792491622883,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000930,2000-09-30,-0.0023365891182112824,"{""type"":""MultiPoint"",""coordinates"":[]}"
20001001,2000-10-01,-0.002210179524461241,"{""type"":""MultiPoint"",""coordinates"":[]}"
20001002,2000-10-02,-0.0021956802410085597,"{""type"":""MultiPoint"",""coordinates"":[]}"
20001003,2000-10-03,-0.0022290554003070954,"{""type"":""MultiPoint"",""coordinates"":[]}"
20001004,2000-10-04,-0.0022632268561765165,"{""type"":""MultiPoint"",""coordinates"":[]}"
20001005,2000-10-05,-0.002189673665757185,"{""type"":""MultiPoint"",""coordinates"":[]}"
20001006,2000-10-06,-0.002167060934094114,"{""type"":""MultiPoint"",""coordinates"":[]}"
20001007,2000-10-07,-0.0021428564579137744,"{""type"":""MultiPoint"",""coordinates"":[]}"
20001008,2000-10-08,-0.002155591187754637,"{""type"":""MultiPoint"",""coordinates"":[]}"
20001009,2000-10-09,-0.0021223113210162886,"{""type"":""MultiPoint"",""coordinates"":[]}"
